dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
1.0,0.33071891388307384,0.0,0.0,4.0,0.30927341078212095,162.0,1.4142135623730951,71.89725315141165,-0.020724696758384703,-2.0
4.0,0.6614378277661477,0.0,0.0,4.0,0.3109311089705522,156.0,1.346291201783626,72.49772348383364,-0.027878574029627626,-2.0
1.0,0.33071891388307384,0.0,0.0,4.0,0.31878020458672207,154.0,1.3228756555322954,75.16554713326617,-0.024670610489870154,-2.0
2.0,0.5,24.0,1.4142135623730951,4.0,0.3068156515747263,152.0,1.299038105676658,70.67603957416893,-0.03057190737293112,-2.0
1.0,0.33071891388307384,0.0,0.0,4.0,0.3057977095028452,154.0,1.3228756555322954,73.71321868341145,-0.023471235132420144,-2.0
4.0,0.6614378277661477,13.0,1.1110243021644486,4.0,0.31036799669117,154.0,1.3228756555322954,74.64931301867489,-0.023593843225318788,-2.0
1.0,0.33071891388307384,25.0,1.653594569415369,4.0,0.31357665266990603,172.0,1.3635890143294642,71.75716932387812,-0.02569910485622927,-2.0
4.0,0.6614378277661477,0.0,0.0,4.0,0.30765731050678585,138.0,1.2930100540985752,68.2889789311154,-0.031237966428745878,-2.0
5.0,0.7806247497997998,0.0,0.0,4.0,0.31891724043188335,190.0,1.5562374497485916,72.49351224842758,-0.032824537810006243,-2.0
1.0,0.33071891388307384,5.0,0.6959705453537527,4.0,0.303524523793097,150.0,1.2747548783981961,73.8396745035823,-0.019167423304985973,-2.0
1.0,0.33071891388307384,0.0,0.0,4.0,0.31566594307377016,182.0,1.4737282653189494,73.59696135154054,-0.029116778975499923,-2.0
1.0,0.33071891388307384,36.0,1.984313483298443,4.0,0.2925507024814859,152.0,1.299038105676658,72.30164371497618,-0.026728399336388854,-2.0
1.0,0.33071891388307384,0.0,0.0,4.0,0.30433874339554284,180.0,1.4523687548277813,72.99445652261512,-0.02547123270146555,-2.0
2.0,0.5,0.0,0.0,4.0,0.303743485741453,160.0,1.3919410907075054,73.9627163643416,-0.026026553295219197,-2.0
4.0,0.6614378277661477,0.0,0.0,4.0,0.3105763887021722,160.0,1.3919410907075054,72.85232203123611,-0.026849222294863855,-2.0
1.0,0.33071891388307384,0.0,0.0,4.0,0.30072169372160856,186.0,1.5155444566227676,76.68326481261042,-0.020831881732179036,-2.0
