dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,graph_avg_speed,graph_shortest_distance,label
102.0,2.7726341266023544,196.0,4.630064794363034,3.0,0.3211135946729198,114.0,1.14564392373896,71.33102938487626,-0.045788053181012145,25.908040021767,10.012492197250394,-2.0
110.0,2.947456530637899,0.0,0.0,3.0,0.3184213693552903,136.0,1.2686114456365274,72.91226677315319,-0.043066130503629244,62.41311192654507,40.19950248448356,-2.0
172.0,3.7332961307670196,169.0,4.29934588047996,3.0,0.32007211833576116,144.0,1.1989578808281798,68.83639433183345,-0.052260384594938564,51.816080043534,20.024984394500787,-2.0
98.0,2.680951323690902,0.0,0.0,2.0,0.32244374218438115,152.0,1.299038105676658,69.88378904842223,-0.05295747736455668,52.89205526985473,20.615528128088304,-2.0
55.0,2.057759704144291,196.0,4.630064794363034,3.0,0.32034207220890215,182.0,1.4737282653189494,67.27921230128412,-0.05540302539272798,51.816080043534,20.024984394500787,-2.0
137.0,3.1991209730174317,196.0,4.630064794363034,2.0,0.3125536693409916,148.0,1.25,69.76999888660256,-0.04930545300999934,0.0,0.0,-2.0
102.0,2.7726341266023544,169.0,4.29934588047996,3.0,0.31736116296927197,128.0,1.165922381636102,71.69209307705371,-0.0480991728815099,51.816080043534,20.024984394500787,-2.0
109.0,2.8256636388643286,4.0,0.6614378277661477,2.0,0.31084972662398835,150.0,1.2747548783981961,68.32655575909102,-0.054934362717259065,25.908040021767,10.012492197250394,-2.0
124.0,3.2307119958300214,0.0,0.0,3.0,0.32043317081695466,142.0,1.340475661845451,67.69823406746971,-0.05071080921923049,25.908040021767,10.012492197250394,-2.0
72.0,2.23606797749979,1.0,0.33071891388307384,3.0,0.31068706581055816,162.0,1.4142135623730951,69.43164714695888,-0.047604513603666736,52.89205526985473,20.615528128088304,-2.0
78.0,2.5860201081971503,1.0,0.33071891388307384,3.0,0.3194313872845277,120.0,1.224744871391589,70.61844291101467,-0.049445140194641204,51.816080043534,20.024984394500787,-2.0
95.0,2.7128168017763383,196.0,4.630064794363034,3.0,0.33123144882344946,108.0,1.0606601717798212,71.79532928451337,-0.03974676947800124,51.816080043534,20.024984394500787,-2.0
102.0,2.7726341266023544,197.0,4.594493987372276,2.0,0.32030261649908526,158.0,1.3693063937629153,68.46504771741269,-0.048724086187647446,31.206555963272535,20.09975124224178,-2.0
109.0,2.8256636388643286,197.0,4.594493987372276,3.0,0.314104324875109,146.0,1.224744871391589,67.72103176177254,-0.051741445423295646,25.908040021767,10.012492197250394,-2.0
283.0,5.8829733128750465,225.0,4.960783708246107,2.0,0.3145289387633595,106.0,1.0307764064044151,70.03521681150443,-0.04484425557609825,52.89205526985473,20.615528128088304,-2.0
79.0,2.521780125229002,1.0,0.33071891388307384,3.0,0.317299422497211,158.0,1.3693063937629153,67.32261713874644,-0.05325304255022975,52.89205526985473,20.615528128088304,-2.0
86.0,2.598076211353316,0.0,0.0,3.0,0.3194965561612108,132.0,1.2183492931011204,71.43457549184818,-0.04580470128137129,25.908040021767,10.012492197250394,-2.0
85.0,2.4717149916606487,197.0,4.594493987372276,3.0,0.3172001725320442,124.0,1.1110243021644486,68.20212896052465,-0.05317398825427373,25.908040021767,10.012492197250394,-2.0
141.0,3.461845606031557,196.0,4.630064794363034,2.0,0.3171909335497358,128.0,1.165922381636102,71.05360678153951,-0.046078005484001684,51.816080043534,20.024984394500787,-2.0
82.0,2.5,196.0,4.630064794363034,3.0,0.32298302727898864,184.0,1.3228756555322954,69.08560759491476,-0.04549979404603964,25.908040021767,10.012492197250394,-2.0
75.0,2.4206145913796355,0.0,0.0,2.0,0.3180022934046689,142.0,1.340475661845451,68.96738496655159,-0.05025235361357766,51.816080043534,20.024984394500787,-2.0
84.0,2.5495097567963922,0.0,0.0,3.0,0.3208785469289715,124.0,1.2747548783981961,70.08475713943223,-0.047308457185291225,51.816080043534,20.024984394500787,-2.0
255.0,5.577577879330776,257.0,5.2544623892459255,2.0,0.31557065525197486,188.0,1.3693063937629153,69.34286332665086,-0.04394542573657978,51.816080043534,20.024984394500787,-2.0
104.0,2.598076211353316,0.0,0.0,3.0,0.31509222399697784,128.0,1.3228756555322954,71.75447127715819,-0.0479817132706536,37.534495058498486,40.64051252258909,-2.0
