dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
48.0,1.9364916731037085,0.0,0.0,4.0,0.3242611838339689,228.0,1.6153559979150107,60.530485140742584,-0.07850784915657721,-1.0
48.0,1.9364916731037085,0.0,0.0,4.0,0.3185309781143447,190.0,1.5562374497485916,61.20992187892761,-0.0768149002192693,-1.0
37.0,1.653594569415369,1.0,0.33071891388307384,4.0,0.3176891822376144,206.0,1.5612494995995996,60.69144245873339,-0.07911634277730575,-1.0
32.0,1.5612494995995996,0.0,0.0,4.0,0.32113213956346803,220.0,1.5360257159305635,59.90159822703286,-0.0817464833367521,-1.0
40.0,1.6583123951777,0.0,0.0,4.0,0.3261161169698584,224.0,1.5761900266148114,59.985040377826714,-0.08315900730602174,-1.0
47.0,1.996089927833914,0.0,0.0,4.0,0.3174967997078035,188.0,1.5360257159305635,59.80063329775915,-0.08852484038155542,-1.0
35.0,1.5761900266148114,0.0,0.0,4.0,0.317513831965405,170.0,1.5,61.27026815734551,-0.07786782031879863,-1.0
28.0,1.3919410907075054,0.0,0.0,4.0,0.3213090846371879,142.0,1.340475661845451,61.278037203058545,-0.07764440907403984,-1.0
36.0,1.713913650100261,4.0,0.6614378277661477,4.0,0.32298813871300447,208.0,1.5811388300841898,59.952336717829034,-0.0848497227173442,-1.0
43.0,1.8666480653835098,1.0,0.33071891388307384,3.0,0.3155703256712301,204.0,1.541103500742244,60.5687070365476,-0.08293601357302618,-1.0
