dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
3.0,0.4841229182759271,0.0,0.0,2.0,0.28264099388889785,126.0,1.299038105676658,65.04391371398651,-0.05945096478955804,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.28085966320706884,144.0,1.3635890143294642,63.698708209281016,-0.06463836526574475,-2.0
2.0,0.4330127018922193,0.0,0.0,2.0,0.2844172736947972,160.0,1.3919410907075054,63.81548250775184,-0.06436578278155045,-2.0
2.0,0.4330127018922193,0.0,0.0,3.0,0.27908722719100915,144.0,1.3635890143294642,64.49333572615316,-0.057647520468042,-2.0
2.0,0.4330127018922193,0.0,0.0,2.0,0.2843929606134801,166.0,1.4577379737113252,62.95874472008292,-0.06555495923399199,-2.0
1.0,0.33071891388307384,4.0,0.6614378277661477,3.0,0.28253052941465445,186.0,1.5155444566227676,64.38964262546934,-0.06512500725574093,-2.0
3.0,0.4841229182759271,0.0,0.0,3.0,0.27985316072432753,184.0,1.4947825928876748,62.14859898645277,-0.06833393624299261,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.28340541540323755,182.0,1.4737282653189494,61.456060936933284,-0.06886972068440593,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.286597282625201,176.0,1.4086784586980805,61.492034607199066,-0.0690182683042843,-2.0
2.0,0.4330127018922193,0.0,0.0,2.0,0.284017683227103,138.0,1.2930100540985752,59.89609896137833,-0.07497729389797321,-2.0
2.0,0.4330127018922193,0.0,0.0,2.0,0.2805005593492278,128.0,1.3228756555322954,63.33973960313527,-0.06734941737961947,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.2774666787264222,152.0,1.4523687548277813,65.16832955836988,-0.05884954675190196,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.28025403908786994,144.0,1.3635890143294642,66.54356140340448,-0.05709604596166382,-2.0
2.0,0.4330127018922193,0.0,0.0,2.0,0.2780481738526571,166.0,1.4577379737113252,64.60292720365739,-0.0632659225107386,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.28757981575067276,154.0,1.4737282653189494,64.00319679375609,-0.0679384848952783,-2.0
3.0,0.4841229182759271,0.0,0.0,2.0,0.284535769049619,102.0,1.1388041973930374,62.285170641643774,-0.06498031456410275,-2.0
