dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
9.0,0.9921567416492215,0.0,0.0,3.0,0.309615518443438,158.0,1.5155444566227676,70.40308786352838,-0.05083881439002043,1.0
9.0,0.9921567416492215,16.0,1.3228756555322954,3.0,0.3120877970169963,120.0,1.224744871391589,67.27021654340135,-0.05485866411633772,1.0
6.0,0.7071067811865476,1.0,0.33071891388307384,3.0,0.3147577525050088,108.0,1.2183492931011204,65.64105522617616,-0.06114902873625335,1.0
10.0,1.0,4.0,0.6614378277661477,3.0,0.307974066497105,104.0,1.165922381636102,65.013296712298,-0.0685437789954853,1.0
6.0,0.7071067811865476,0.0,0.0,3.0,0.3088085440259895,130.0,1.346291201783626,69.27975524919087,-0.05401620402425611,1.0
10.0,1.0,25.0,1.653594569415369,3.0,0.30862308741971617,118.0,1.1989578808281798,66.08486462308058,-0.06272742744524552,1.0
12.0,0.9682458365518543,0.0,0.0,3.0,0.3062084488470075,146.0,1.3863170633011772,66.82445410425731,-0.061375277137334434,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.31005340915533514,128.0,1.3228756555322954,67.33866148993849,-0.0589558678935355,1.0
6.0,0.7071067811865476,0.0,0.0,3.0,0.30972492560377596,118.0,1.1989578808281798,66.8934401695754,-0.06054534294654741,1.0
6.0,0.7071067811865476,13.0,1.1110243021644486,3.0,0.3092273463510093,120.0,1.224744871391589,67.79817826473416,-0.055868373116536515,1.0
10.0,1.0,1.0,0.33071891388307384,3.0,0.3148381866703604,152.0,1.4523687548277813,65.18732360593148,-0.06428578155844214,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.308859970866955,128.0,1.3228756555322954,67.28358308599555,-0.05799988645013087,1.0
4.0,0.6614378277661477,10.0,1.0,3.0,0.3123216849151493,150.0,1.4306903927824497,69.60510128816131,-0.05126049555819188,1.0
4.0,0.6614378277661477,0.0,0.0,3.0,0.3052485706925857,136.0,1.4142135623730951,69.4678180542581,-0.05551105391729138,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.3098024364229073,180.0,1.6007810593582121,66.89763006340095,-0.06115960774442446,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.3069239633757111,152.0,1.4523687548277813,67.5398693815727,-0.057923686718575604,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.3099609928592281,148.0,1.4086784586980805,70.32023340892901,-0.04879526776206033,1.0
5.0,0.6959705453537527,5.0,0.6959705453537527,3.0,0.30918742555875073,158.0,1.5155444566227676,67.17637584564328,-0.05786289794786299,1.0
4.0,0.6614378277661477,0.0,0.0,3.0,0.30584981560407787,148.0,1.4086784586980805,68.77607490819972,-0.053395901590359604,1.0
4.0,0.6614378277661477,6.0,0.7071067811865476,3.0,0.30722864558899904,162.0,1.5562374497485916,67.76233272895236,-0.053398056338075275,1.0
7.0,0.6959705453537527,0.0,0.0,3.0,0.3065574789645687,148.0,1.4086784586980805,70.5132384684133,-0.04817453620588759,1.0
6.0,0.7071067811865476,0.0,0.0,3.0,0.30703396068504324,126.0,1.299038105676658,68.68971212112614,-0.05273562458536486,1.0
6.0,0.7071067811865476,0.0,0.0,3.0,0.3059832533019737,142.0,1.479019945774904,68.7560796196798,-0.05508608457736425,1.0
9.0,0.9921567416492215,16.0,1.3228756555322954,3.0,0.3101182432800489,170.0,1.5,69.01595733368993,-0.05156935983039624,1.0
6.0,0.7071067811865476,9.0,0.8569568250501305,3.0,0.3063764353561355,128.0,1.3228756555322954,67.30836582791402,-0.05807933320735015,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.3114746781674504,114.0,1.2930100540985752,67.28333470071928,-0.057664645134020726,1.0
10.0,1.0,4.0,0.6614378277661477,3.0,0.30796015561896484,152.0,1.4523687548277813,67.53297948547052,-0.05924312264788798,1.0
6.0,0.7071067811865476,0.0,0.0,3.0,0.3197914354234386,106.0,1.192424001771182,70.76266901759396,-0.051517785624169254,1.0
6.0,0.7071067811865476,1.0,0.33071891388307384,3.0,0.31249154705651944,120.0,1.224744871391589,66.8667110156131,-0.05888191637871562,1.0
10.0,1.0,5.0,0.6959705453537527,3.0,0.3144801636177594,146.0,1.3863170633011772,69.74047559803931,-0.050962189842723875,1.0
4.0,0.6614378277661477,10.0,1.0,3.0,0.30845392032445806,128.0,1.3228756555322954,67.70123108985183,-0.057380085580149794,1.0
7.0,0.6959705453537527,1.0,0.33071891388307384,3.0,0.30849718892058886,154.0,1.4737282653189494,68.79364330942906,-0.057260304935581624,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.30810654839516194,122.0,1.25,68.54280382448474,-0.05565919569997788,1.0
