dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
25.0,1.653594569415369,273.0,3.2185982973959333,4.0,0.2639137577645011,136.0,1.2686114456365274,69.28993049025419,-0.00787213017098167,-2.0
1.0,0.33071891388307384,456.0,3.3819373146171707,4.0,0.26757708343205494,220.0,1.695582495781317,77.18030996323763,-0.004291442195495475,-2.0
1.0,0.33071891388307384,585.0,3.8709656418005056,4.0,0.26002119440478155,182.0,1.299038105676658,70.29485585136034,-0.01689621331233667,-2.0
17.0,1.4086784586980805,521.0,3.7893765978060294,3.0,0.2756771879485406,172.0,1.3635890143294642,68.63249070262343,-0.004228318661924035,-2.0
26.0,1.7320508075688772,170.0,3.0,4.0,0.26944882793951763,184.0,1.4947825928876748,70.1284004638866,0.005506028820136823,-2.0
0.0,0.0,510.0,3.840572873934304,4.0,0.26094046584300246,212.0,1.620185174601965,75.01098448781636,-0.005960535982995166,-2.0
1.0,0.33071891388307384,513.0,4.106016926414211,4.0,0.26243568105771903,232.0,1.653594569415369,75.82777472731908,-0.00045734159241801915,-2.0
1.0,0.33071891388307384,117.0,2.2043990110685496,3.0,0.2623659746420432,156.0,1.346291201783626,68.99294695121861,-0.003981983151778513,-2.0
17.0,1.4086784586980805,543.0,4.136348026943574,4.0,0.2665093719241906,176.0,1.4086784586980805,71.79453266221661,-0.0010959607991941431,-2.0
26.0,1.7320508075688772,266.0,3.605551275463989,4.0,0.27357079530652295,156.0,1.346291201783626,72.5377008422404,-0.002721993010103313,-2.0
0.0,0.0,404.0,3.3819373146171707,4.0,0.2706976555310953,190.0,1.3919410907075054,72.18874035968258,-0.0031798766348700696,-2.0
1.0,0.33071891388307384,354.0,3.344772040064913,4.0,0.26466561461667004,210.0,1.6007810593582121,73.4370339385431,-0.008489791213899938,-2.0
1.0,0.33071891388307384,191.0,2.6190408549696205,4.0,0.27113158285130146,180.0,1.4523687548277813,70.72338957818954,-0.004010070292595378,-2.0
5.0,0.6959705453537527,312.0,2.958039891549808,4.0,0.2751107255368813,198.0,1.479019945774904,74.02403062259924,-0.0027011809834781315,-2.0
2.0,0.4330127018922193,299.0,3.3330729064933458,4.0,0.26392570831208156,156.0,1.346291201783626,70.05271807977738,-0.009857656715491546,-2.0
0.0,0.0,365.0,3.3330729064933458,4.0,0.2601578213851944,204.0,1.541103500742244,72.48123094867957,-0.006292363659057127,-2.0
1.0,0.33071891388307384,319.0,3.314268395890713,4.0,0.26405990648737765,234.0,1.6723860200324565,74.44588055865398,-0.0027163625973153603,-2.0
2.0,0.4330127018922193,142.0,1.920286436967152,4.0,0.2701552939067227,196.0,1.4577379737113252,70.08758457515074,-0.0006458004916525366,-2.0
0.0,0.0,321.0,3.7228181529588578,4.0,0.261271115369988,186.0,1.346291201783626,72.28959520868933,-0.005993612873852172,-2.0
0.0,0.0,545.0,4.166458328124739,4.0,0.26393006852615225,190.0,1.3919410907075054,74.02615409041842,-0.003350606159847282,-2.0
2.0,0.4330127018922193,416.0,3.59687364248454,4.0,0.2572291911973503,210.0,1.4306903927824497,72.46251985734204,-0.013403742644839695,-2.0
2.0,0.4330127018922193,415.0,3.7893765978060294,4.0,0.2638955325974591,210.0,1.4306903927824497,74.08704573864219,-0.014193381054957259,-2.0
2.0,0.4330127018922193,490.0,3.960744879438715,4.0,0.26713273394911446,182.0,1.4737282653189494,72.02135765098416,-0.00248121889652159,-2.0
2.0,0.4330127018922193,546.0,3.960744879438715,4.0,0.2547848694039147,200.0,1.5,74.27639263821641,-0.011122249782448851,-2.0
26.0,1.7320508075688772,600.0,4.330127018922194,4.0,0.27327443779178406,238.0,1.709349291397168,74.01550900091233,0.0033502380066840346,-2.0
