dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
6.0,0.7071067811865476,0.0,0.0,1.0,0.2879754222520733,196.0,1.6153559979150107,65.42672798176828,-0.0766646073786813,1.0
26.0,1.299038105676658,0.0,0.0,1.0,0.2872308230650419,248.0,1.6393596310755,61.28092692365704,-0.09622089747058288,1.0
23.0,1.2686114456365274,0.0,0.0,1.0,0.2842796712599392,164.0,1.4361406616345072,64.87480007488382,-0.07669388144113601,1.0
18.0,1.118033988749895,2.0,0.4330127018922193,1.0,0.28957210181017834,192.0,1.5761900266148114,64.8628785753711,-0.07958048567354252,1.0
14.0,0.8660254037844386,0.0,0.0,1.0,0.28547322041600753,210.0,1.6007810593582121,66.71765935820278,-0.0676085928072739,1.0
28.0,1.5811388300841898,0.0,0.0,1.0,0.2863020610450522,148.0,1.4086784586980805,66.54961982495406,-0.07351629961860555,1.0
23.0,1.2686114456365274,0.0,0.0,1.0,0.285981020376698,256.0,1.713913650100261,62.71182953810367,-0.08581642810862508,1.0
15.0,1.0532687216470449,0.0,0.0,1.0,0.28773431157845375,190.0,1.5562374497485916,65.16419458415504,-0.0724075679741401,1.0
19.0,1.2686114456365274,0.0,0.0,1.0,0.28635375807039753,208.0,1.5811388300841898,62.80281425553082,-0.0862520834222347,1.0
22.0,1.3228756555322954,0.0,0.0,1.0,0.2872194673171529,202.0,1.5206906325745548,65.03866090873949,-0.07801453240295247,1.0
42.0,1.920286436967152,0.0,0.0,1.0,0.2871791543528858,152.0,1.4523687548277813,67.5891729845738,-0.06552371458929632,1.0
18.0,1.118033988749895,0.0,0.0,1.0,0.28795847445787615,232.0,1.653594569415369,61.21969521746559,-0.08287321349384127,1.0
15.0,1.0532687216470449,0.0,0.0,1.0,0.28271587696826056,156.0,1.4947825928876748,66.40775486539225,-0.07184952010098525,1.0
15.0,1.0532687216470449,1.0,0.33071891388307384,1.0,0.287602212956935,210.0,1.6007810593582121,61.50044492957255,-0.09278657525566711,1.0
28.0,1.5811388300841898,0.0,0.0,1.0,0.28404202738991113,172.0,1.5206906325745548,66.76870217041531,-0.0673475447331791,1.0
18.0,1.118033988749895,0.0,0.0,1.0,0.2910538797617241,232.0,1.653594569415369,61.020315274968254,-0.09109387975217995,1.0
19.0,1.2686114456365274,1.0,0.33071891388307384,1.0,0.28443017623649675,160.0,1.5360257159305635,68.46859599325211,-0.06085907511020793,1.0
31.0,1.6153559979150107,8.0,0.8660254037844386,1.0,0.28685192476375065,174.0,1.541103500742244,69.1731572408748,-0.06241699612865743,1.0
20.0,1.224744871391589,1.0,0.33071891388307384,1.0,0.29035602193771287,218.0,1.5155444566227676,64.95763484198447,-0.07157025744907704,1.0
20.0,1.224744871391589,1.0,0.33071891388307384,1.0,0.28615824437486903,176.0,1.5612494995995996,65.78764073108553,-0.0790136060652799,1.0
