dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
50.0,1.5,0.0,0.0,3.0,0.3007037384477576,200.0,1.5,62.757653309134,-0.09562235844025009,1.0
42.0,1.479019945774904,4.0,0.6614378277661477,4.0,0.29480852448709033,202.0,1.5206906325745548,65.75246795758095,-0.08424431589312951,1.0
35.0,0.9270248108869579,0.0,0.0,4.0,0.29484063138379424,176.0,1.4086784586980805,62.48475458756414,-0.09913793305089287,1.0
50.0,1.0897247358851685,0.0,0.0,4.0,0.2958133597258432,198.0,1.479019945774904,62.84308202119247,-0.10035527522688596,1.0
31.0,1.1110243021644486,4.0,0.6614378277661477,4.0,0.29563238349484977,184.0,1.3228756555322954,62.526825732571005,-0.09818050290229363,1.0
31.0,1.1110243021644486,0.0,0.0,3.0,0.29117254728464265,132.0,1.2183492931011204,66.56288088094988,-0.07688201613228625,1.0
34.0,1.0897247358851685,0.0,0.0,4.0,0.2955322624162866,210.0,1.4306903927824497,64.32670209430486,-0.08575757267469232,1.0
37.0,1.0532687216470449,0.0,0.0,4.0,0.2978700873914647,188.0,1.3693063937629153,65.47288442452714,-0.08280677097891548,1.0
39.0,1.165922381636102,0.0,0.0,4.0,0.29757501438076583,198.0,1.479019945774904,64.8329663249103,-0.0920090718653461,1.0
39.0,1.4947825928876748,0.0,0.0,4.0,0.29494409276774725,156.0,1.346291201783626,64.99698134084372,-0.08594927605456248,1.0
50.0,1.5,2.0,0.4330127018922193,3.0,0.29083430371611946,182.0,1.4737282653189494,67.35556027083125,-0.07796812694783221,1.0
28.0,1.118033988749895,2.0,0.4330127018922193,4.0,0.29785862293205495,186.0,1.346291201783626,64.27029266931274,-0.0915186617977835,1.0
38.0,1.299038105676658,0.0,0.0,3.0,0.29524972316629794,194.0,1.4361406616345072,63.9679265400348,-0.09417148096068508,1.0
31.0,1.1110243021644486,1.0,0.33071891388307384,4.0,0.2952013801032788,202.0,1.5206906325745548,64.0540319236566,-0.09384110863919322,1.0
33.0,1.2183492931011204,25.0,1.653594569415369,3.0,0.2948865846954918,164.0,1.2686114456365274,67.78641984725414,-0.07428829878942161,1.0
31.0,1.1110243021644486,1.0,0.33071891388307384,4.0,0.2939186439628041,262.0,1.595893166850463,64.16414750423596,-0.09570443262083052,1.0
24.0,1.1989578808281798,0.0,0.0,4.0,0.2948419311170621,184.0,1.3228756555322954,64.96934484092023,-0.08041774157436282,1.0
31.0,1.1110243021644486,2.0,0.4330127018922193,4.0,0.30216997324270567,196.0,1.4577379737113252,64.65211940852197,-0.08767290908227732,1.0
33.0,1.2183492931011204,0.0,0.0,4.0,0.2957190665804896,216.0,1.4947825928876748,65.55359744458987,-0.08451890883789001,1.0
28.0,1.118033988749895,0.0,0.0,4.0,0.29482461475989097,212.0,1.4523687548277813,64.75579627198985,-0.08438631230907873,1.0
34.0,1.4142135623730951,0.0,0.0,3.0,0.29823784815287024,212.0,1.4523687548277813,65.91452165307923,-0.08728169766920822,1.0
24.0,1.1989578808281798,0.0,0.0,3.0,0.29732106085553667,176.0,1.4086784586980805,63.07825846278871,-0.09352766045121944,1.0
31.0,1.1110243021644486,5.0,0.6959705453537527,4.0,0.29933432507442986,200.0,1.5,64.91323758428071,-0.08153892288427775,1.0
40.0,1.0,0.0,0.0,4.0,0.29075133569184547,164.0,1.4361406616345072,66.1738845412051,-0.08162920297854613,1.0
31.0,1.1110243021644486,16.0,1.3228756555322954,4.0,0.2963723277896336,160.0,1.3919410907075054,66.09480281149555,-0.08124113284520006,1.0
34.0,1.0897247358851685,0.0,0.0,4.0,0.2981033983308541,246.0,1.620185174601965,64.97721433868384,-0.09139265158875698,1.0
31.0,1.1110243021644486,4.0,0.6614378277661477,4.0,0.2987397323518677,134.0,1.243734296383275,65.61120546158888,-0.08291652629921697,1.0
39.0,1.165922381636102,0.0,0.0,4.0,0.29547438088321837,194.0,1.4361406616345072,64.55900878678672,-0.0894429904759719,1.0
32.0,0.9682458365518543,1.0,0.33071891388307384,4.0,0.29471713250143056,214.0,1.4737282653189494,64.62388502176599,-0.08643424916417329,1.0
28.0,1.118033988749895,0.0,0.0,4.0,0.2944316316291776,216.0,1.4947825928876748,66.65837565671532,-0.07642399321851137,1.0
31.0,1.1110243021644486,0.0,0.0,4.0,0.2886391991662776,196.0,1.4577379737113252,64.19763281329203,-0.08582520989235047,1.0
31.0,1.1110243021644486,1.0,0.33071891388307384,4.0,0.2918439507556423,166.0,1.2930100540985752,64.89714427363546,-0.08478130244932598,1.0
25.0,1.1110243021644486,0.0,0.0,4.0,0.2943741872748269,160.0,1.3919410907075054,66.41695646090089,-0.07822461814163999,1.0
