dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,graph_avg_speed,graph_shortest_distance,label
76.0,2.1065374432940898,0.0,0.0,5.0,0.3077247500120815,244.0,1.6007810593582121,60.77245618644534,-0.09338202182782722,39.644145691146036,97.8512068574356,-2.0
88.0,2.179449471770337,197.0,4.594493987372276,5.0,0.30752263743002667,198.0,1.479019945774904,63.51337832043414,-0.08422008629524336,36.39946273308835,58.68731400539126,-2.0
77.0,1.996089927833914,196.0,4.630064794363034,5.0,0.3205387769188367,196.0,1.4577379737113252,62.79849773760896,-0.08377477648867761,35.34239662836144,87.68731400539126,-2.0
96.0,2.3979157616563596,197.0,4.594493987372276,5.0,0.303273500138795,162.0,1.4142135623730951,63.80004461867495,-0.08364078063627002,41.41816997300371,68.8512068574356,-2.0
96.0,2.3979157616563596,196.0,4.630064794363034,5.0,0.3011184821123838,176.0,1.4086784586980805,63.23866771402817,-0.08849259649375461,37.57271711971747,83.3512068574356,-2.0
88.0,2.179449471770337,196.0,4.630064794363034,5.0,0.3034227821140641,196.0,1.4577379737113252,61.73729426230893,-0.0943842429703177,35.34239662836144,87.68731400539126,-2.0
86.0,2.1213203435596424,196.0,4.630064794363034,5.0,0.30843146852801107,212.0,1.4523687548277813,62.43877311965499,-0.08997025006583301,29.410462605867128,81.56377066623568,-2.0
88.0,2.179449471770337,196.0,4.630064794363034,5.0,0.3194736451733494,236.0,1.5206906325745548,61.98334626962121,-0.09057407236100638,35.34239662836144,87.68731400539126,-2.0
101.0,2.394655507583502,196.0,4.630064794363034,5.0,0.30259799365790563,214.0,1.4737282653189494,60.965761796047005,-0.09389322774909376,36.39946273308835,58.68731400539126,-2.0
91.0,2.117634293262177,392.0,6.06217782649107,5.0,0.30433810246088283,206.0,1.3863170633011772,60.18761782435112,-0.09220585517056418,29.856894442555532,79.22807528573857,-2.0
107.0,2.54644359843292,196.0,4.630064794363034,4.0,0.3162301580791474,196.0,1.4577379737113252,64.93270688495329,-0.07705517686704685,41.41816997300371,68.8512068574356,-2.0
100.0,2.5,0.0,0.0,5.0,0.2918146938597499,178.0,1.4306903927824497,65.74339199173376,-0.08546537244722133,39.644145691146036,97.8512068574356,-2.0
96.0,2.3979157616563596,196.0,4.630064794363034,5.0,0.29664828305024316,218.0,1.5155444566227676,63.97315679987514,-0.08355303119438164,37.57271711971747,83.3512068574356,-2.0
115.0,2.4717149916606487,196.0,4.630064794363034,5.0,0.3122725250668867,170.0,1.340475661845451,63.708462009839806,-0.0764329296463644,29.856894442555532,79.22807528573857,-2.0
112.0,2.537222891273055,196.0,4.630064794363034,5.0,0.3122829815335896,192.0,1.4142135623730951,62.111760066088046,-0.0888113365388589,35.34239662836144,87.68731400539126,-2.0
104.0,2.331844763272204,196.0,4.630064794363034,5.0,0.31871858440779804,172.0,1.3635890143294642,60.589975718071855,-0.09385857945634322,29.856894442555532,79.22807528573857,-2.0
116.0,2.6339134382131846,196.0,4.630064794363034,5.0,0.306481762579019,186.0,1.346291201783626,61.134894590878176,-0.09890247352722081,35.34239662836144,87.68731400539126,-2.0
67.0,1.964529205687714,0.0,0.0,5.0,0.2954810607481101,162.0,1.4142135623730951,62.6750648250484,-0.09173796448135282,39.644145691146036,97.8512068574356,-2.0
115.0,2.4717149916606487,392.0,6.06217782649107,5.0,0.3105684837743945,190.0,1.3919410907075054,63.014353106665304,-0.08313404776546904,29.68551555404442,108.22807528573857,-2.0
102.0,2.277608394786075,392.0,6.06217782649107,5.0,0.31965491445887956,178.0,1.4306903927824497,61.94988572751636,-0.08308667997922817,29.856894442555532,79.22807528573857,-2.0
101.0,2.394655507583502,196.0,4.630064794363034,5.0,0.29868074662226296,216.0,1.4947825928876748,62.459104216417586,-0.08489066339024584,35.34239662836144,87.68731400539126,-2.0
104.0,2.331844763272204,196.0,4.630064794363034,5.0,0.2995451080405029,182.0,1.4737282653189494,59.22532214496771,-0.11049252462771984,29.68551555404442,108.22807528573857,-2.0
88.0,2.179449471770337,196.0,4.630064794363034,5.0,0.3013156173302933,220.0,1.5360257159305635,63.19696807562948,-0.0901750596494024,35.34239662836144,87.68731400539126,-2.0
88.0,2.179449471770337,196.0,4.630064794363034,5.0,0.3138661248024334,178.0,1.4306903927824497,61.62251527671518,-0.08841904026983002,36.39946273308835,58.68731400539126,-2.0
83.0,2.1758618981911515,196.0,4.630064794363034,5.0,0.295379753627239,198.0,1.479019945774904,62.01610072134187,-0.0877979021109998,37.57271711971747,83.3512068574356,-2.0
92.0,2.29128784747792,196.0,4.630064794363034,5.0,0.32230231457235675,228.0,1.4361406616345072,60.054391972096866,-0.09887470985152863,35.55390923503345,103.92445044123357,-2.0
96.0,2.3979157616563596,196.0,4.630064794363034,5.0,0.3127594463086595,194.0,1.4361406616345072,62.769724242911735,-0.0875653913371431,37.57271711971747,83.3512068574356,-2.0
