dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
1.0,0.33071891388307384,0.0,0.0,3.0,0.3730192063549262,190.0,1.5562374497485916,67.91451517260248,-0.05145390684717819,1.0
0.0,0.0,0.0,0.0,3.0,0.3634473316086285,224.0,1.5761900266148114,66.48717824224492,-0.04983642706529932,1.0
10.0,1.0,0.0,0.0,3.0,0.37098794180860567,218.0,1.6770509831248424,65.02527821541358,-0.05741999298666251,1.0
1.0,0.33071891388307384,0.0,0.0,3.0,0.365704312719653,264.0,1.7853571071357126,62.03865996759027,-0.06787567021965102,1.0
5.0,0.6959705453537527,0.0,0.0,4.0,0.37274820449109863,218.0,1.6770509831248424,65.45656980680076,-0.05521835498202787,1.0
2.0,0.5,0.0,0.0,3.0,0.370109285255449,172.0,1.5206906325745548,66.52337961793002,-0.05034739628583307,1.0
1.0,0.33071891388307384,0.0,0.0,3.0,0.3626405329926238,178.0,1.5811388300841898,65.54598182588842,-0.054517274199742866,1.0
1.0,0.33071891388307384,0.0,0.0,3.0,0.37109345736680804,222.0,1.713913650100261,63.96253116894986,-0.06431180747636883,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.3602219855421764,156.0,1.4947825928876748,65.97860036690422,-0.05381787334737762,1.0
1.0,0.33071891388307384,0.0,0.0,3.0,0.3729107913606926,208.0,1.7275343701356567,64.5003168400508,-0.060946746012914395,1.0
4.0,0.6614378277661477,0.0,0.0,3.0,0.372692828575753,172.0,1.5206906325745548,66.95273737635016,-0.0503144427951011,1.0
1.0,0.33071891388307384,0.0,0.0,3.0,0.3711211497272337,198.0,1.6345871038277526,64.67290989511582,-0.06059923533227227,1.0
5.0,0.6959705453537527,0.0,0.0,3.0,0.3674933145907714,160.0,1.5360257159305635,66.7893770267774,-0.055318934424812005,1.0
5.0,0.6959705453537527,1.0,0.33071891388307384,3.0,0.36564972628436837,260.0,1.75,63.436306482434816,-0.06482725680133627,1.0
6.0,0.82915619758885,0.0,0.0,3.0,0.3703435878639709,172.0,1.5206906325745548,65.04018950875381,-0.05947477026228621,1.0
